threshold,coverage,accuracy
0.9992776637475488,0.00032509752925877764,1.0
0.9985003641559841,0.003576072821846554,1.0
0.997925164678544,0.0068270481144343306,1.0
0.9975637959992767,0.010078023407022107,1.0
0.9972972404506694,0.013328998699609884,1.0
0.9968888576277282,0.01657997399219766,1.0
0.9962544541618156,0.019830949284785435,1.0
0.9959292273805513,0.023081924577373212,1.0
0.9954387094466086,0.02633289986996099,1.0
0.995069336815884,0.029583875162548765,1.0
0.9948195702360673,0.03283485045513654,1.0
0.9943242612742675,0.036085825747724315,1.0
0.9937600733526369,0.03933680104031209,1.0
0.9931347384055951,0.04258777633289987,1.0
0.9927849471736303,0.045838751625487645,1.0
0.9923445705379809,0.04908972691807542,1.0
0.9918311558318113,0.0523407022106632,1.0
0.9914092688320952,0.055591677503250975,0.9941520467836257
0.9910320421095952,0.05884265279583875,0.994475138121547
0.9907089630248748,0.06209362808842653,0.9947643979057592
0.9904689404470458,0.0653446033810143,0.9950248756218906
0.9902904383622768,0.06859557867360208,0.995260663507109
0.9898477191988415,0.07184655396618986,0.995475113122172
0.9893584940370296,0.07509752925877763,0.9956709956709957
0.9888974223093435,0.07834850455136541,0.995850622406639
0.9885917533735143,0.08159947984395319,0.9960159362549801
0.9881571661673689,0.08485045513654096,0.9961685823754789
0.9877741603506345,0.08810143042912874,0.996309963099631
0.9875191915281627,0.09135240572171652,0.99644128113879
0.9872648555246656,0.0946033810143043,0.9965635738831615
0.9868148829018654,0.09785435630689207,0.9966777408637874
0.986201519926199,0.10110533159947985,0.9967845659163987
0.9855447297462075,0.10435630689206762,0.9937694704049844
0.98480501600068,0.1076072821846554,0.9909365558912386
0.9845462658512939,0.11085825747724318,0.9912023460410557
0.9839875028073797,0.11410923276983095,0.9914529914529915
0.9835800116192751,0.11736020806241873,0.9916897506925207
0.9833770869581104,0.12061118335500651,0.9919137466307277
0.9827974966092625,0.12386215864759428,0.9921259842519685
0.9825522318123386,0.12711313394018206,0.9923273657289002
0.982254311293181,0.13036410923276984,0.9925187032418953
0.9820036884369977,0.1336150845253576,0.9927007299270073
0.9814303340765504,0.1368660598179454,0.9928741092636579
0.9809689077606971,0.14011703511053317,0.9930394431554525
0.980593187960036,0.14336801040312094,0.9931972789115646
0.9802574449263532,0.14661898569570872,0.9933481152993349
0.9798228690076454,0.1498699609882965,0.9934924078091106
0.9791247848652477,0.15312093628088427,0.9936305732484076
0.9786517871612215,0.15637191157347205,0.9937629937629938
0.9781638498326094,0.15962288686605983,0.9938900203665988
0.9779112450910447,0.1628738621586476,0.9940119760479041
0.9773356338652669,0.16612483745123538,0.9941291585127201
0.9766151378023729,0.16937581274382316,0.9942418426103646
0.9759629940509363,0.17262678803641093,0.9943502824858758
0.9754824357901904,0.1758777633289987,0.9944547134935305
0.9749585106985567,0.1791287386215865,0.9945553539019963
0.9744330161304505,0.18237971391417426,0.9946524064171123
0.9739848649480177,0.18563068920676204,0.9947460595446584
0.9737394738822599,0.18888166449934982,0.9948364888123924
0.9731513871590527,0.1921326397919376,0.9949238578680203
0.9722721537985787,0.19538361508452537,0.9933444259567388
0.9717215420371806,0.19863459037711315,0.9934533551554828
0.9709387466088667,0.20188556566970092,0.9935587761674718
0.9699182350255646,0.2051365409622887,0.993660855784469
0.9695197940227619,0.20838751625487648,0.9937597503900156
0.9687969444404144,0.21163849154746425,0.9938556067588326
0.9675294298968442,0.21488946684005203,0.9939485627836612
0.9667162576190744,0.2181404421326398,0.9940387481371088
0.9663070384884301,0.22139141742522755,0.9941262848751835
0.9659568386534438,0.22464239271781533,0.9942112879884226
0.9651648325563276,0.2278933680104031,0.9942938659058488
0.9642697333065119,0.23114434330299088,0.9943741209563994
0.9635224748436706,0.23439531859557866,0.9944521497919556
0.9629480478232456,0.23764629388816644,0.9945280437756497
0.962441876824475,0.24089726918075421,0.9946018893387314
0.9618801274445556,0.244148244473342,0.9946737683089214
0.9609166716620056,0.24739921976592977,0.9947437582128777
0.9602223611050071,0.25065019505851754,0.9948119325551232
0.9596187002587974,0.2539011703511053,0.9948783610755442
0.9589037424351774,0.2571521456436931,0.9924146649810367
0.9582365193849288,0.2604031209362809,0.9925093632958801
0.9573057999727282,0.26365409622886865,0.9926017262638718
