threshold,coverage,accuracy
0.9984665,0.00032509752925877764,1.0
0.9982621,0.003576072821846554,1.0
0.9982115,0.0068270481144343306,1.0
0.9981957,0.010078023407022107,1.0
0.99818134,0.013328998699609884,1.0
0.9981571,0.01657997399219766,1.0
0.99814,0.019830949284785435,1.0
0.9981135,0.023081924577373212,1.0
0.99809307,0.02633289986996099,1.0
0.9980842,0.029583875162548765,1.0
0.99803895,0.03283485045513654,1.0
0.9979917,0.036085825747724315,1.0
0.9979717,0.03933680104031209,1.0
0.99794954,0.04258777633289987,1.0
0.99792045,0.045838751625487645,1.0
0.9979024,0.04908972691807542,1.0
0.99786854,0.0523407022106632,1.0
0.9978517,0.055591677503250975,1.0
0.99783677,0.05884265279583875,1.0
0.9978109,0.06209362808842653,1.0
0.9977937,0.0653446033810143,1.0
0.9977551,0.06859557867360208,1.0
0.99772626,0.07184655396618986,1.0
0.99771094,0.07509752925877763,1.0
0.9976851,0.07834850455136541,1.0
0.99765766,0.08159947984395319,1.0
0.9976407,0.08485045513654096,1.0
0.997621,0.08810143042912874,1.0
0.99759823,0.09135240572171652,1.0
0.99757713,0.0946033810143043,1.0
0.99755883,0.09785435630689207,1.0
0.99753964,0.10110533159947985,1.0
0.99752325,0.10435630689206762,1.0
0.99750704,0.1076072821846554,1.0
0.9974927,0.11085825747724318,1.0
0.9974831,0.11410923276983095,1.0
0.99745077,0.11736020806241873,1.0
0.9974353,0.12061118335500651,1.0
0.9974196,0.12386215864759428,1.0
0.99738866,0.12711313394018206,1.0
0.9973814,0.13036410923276984,1.0
0.99736136,0.1336150845253576,1.0
0.9973362,0.1368660598179454,1.0
0.99731797,0.14011703511053317,1.0
0.9973061,0.14336801040312094,1.0
0.99729675,0.14661898569570872,1.0
0.99728155,0.1498699609882965,1.0
0.9972754,0.15312093628088427,1.0
0.99725777,0.15637191157347205,1.0
0.99724364,0.15962288686605983,1.0
0.9972306,0.1628738621586476,1.0
0.997216,0.16612483745123538,1.0
0.9972046,0.16937581274382316,1.0
0.99719775,0.17262678803641093,1.0
0.99718285,0.1758777633289987,1.0
0.99716777,0.1791287386215865,1.0
0.9971513,0.18237971391417426,1.0
0.99714124,0.18563068920676204,1.0
0.9971323,0.18888166449934982,1.0
0.99711466,0.1921326397919376,1.0
0.99710435,0.19538361508452537,1.0
0.99708873,0.19863459037711315,1.0
0.9970764,0.20188556566970092,1.0
0.9970682,0.2051365409622887,1.0
0.99705756,0.20838751625487648,1.0
0.99704236,0.21163849154746425,1.0
0.9970252,0.21488946684005203,1.0
0.9970114,0.2181404421326398,1.0
0.9970009,0.22139141742522755,0.9985315712187959
0.9969784,0.22464239271781533,0.9985528219971056
0.9969619,0.2278933680104031,0.9985734664764622
0.9969427,0.23114434330299088,0.9985935302390999
0.99692935,0.23439531859557866,0.9986130374479889
0.99692327,0.23764629388816644,0.9986320109439124
0.99691665,0.24089726918075421,0.9986504723346828
0.9968996,0.244148244473342,0.9986684420772304
0.9968919,0.24739921976592977,0.9986859395532195
0.9968771,0.25065019505851754,0.9987029831387808
0.9968641,0.2539011703511053,0.998719590268886
0.99685574,0.2571521456436931,0.9974715549936789
0.9968395,0.2604031209362809,0.9975031210986267
0.99682933,0.26365409622886865,0.9975339087546239
0.996819,0.2669050715214564,0.997563946406821
0.99680895,0.2701560468140442,0.9975932611311673
0.996792,0.273407022106632,0.9964328180737217
0.9967822,0.27665799739921976,0.9964747356051704
0.9967745,0.27990897269180753,0.9965156794425087
0.99675924,0.2831599479843953,0.9965556831228473
0.9967434,0.2864109232769831,0.996594778660613
0.99673176,0.28966189856957086,0.9966329966329966
0.99671715,0.29291287386215864,0.9966703662597114
0.9967018,0.2961638491547464,0.9967069154774972
0.99667907,0.2994148244473342,0.996742671009772
0.99666506,0.30266579973992197,0.9967776584317938
0.99664897,0.30591677503250975,0.9968119022316685
0.99663585,0.3091677503250975,0.9968454258675079
0.99662304,0.3124187256176853,0.9968782518210197
0.996609,0.3156697009102731,0.9969104016477858
0.9965982,0.31892067620286085,0.9969418960244648
0.9965809,0.32217165149544863,0.9969727547931383
0.996561,0.3254226267880364,0.997002997002997
0.99654925,0.3286736020806242,0.9970326409495549
0.99653244,0.33192457737321196,0.9970617042115573
0.99651116,0.33517555266579974,0.9961202715809894
0.9964914,0.3384265279583875,0.9961575408261287
0.99646676,0.3416775032509753,0.9961941008563273
0.9964495,0.34492847854356307,0.9962299717247879
0.99642307,0.34817945383615084,0.996265172735761
0.99640036,0.3514304291287386,0.996299722479186
0.996387,0.3546814044213264,0.9963336388634281
0.99636996,0.3579323797139142,0.9954586739327884
0.9963505,0.36118335500650195,0.9954995499549955
0.9963325,0.3644343302990897,0.9946476360392507
0.9963229,0.3676853055916775,0.9946949602122016
0.9962974,0.3709362808842653,0.9947414548641542
0.9962793,0.37418725617685306,0.9947871416159861
0.99625164,0.37743823146944083,0.9948320413436692
0.9962347,0.3806892067620286,0.9948761742100769
0.9962178,0.3839401820546164,0.9949195596951735
0.99618846,0.38719115734720416,0.9949622166246851
0.9961773,0.39044213263979194,0.9950041631973355
0.9961599,0.3936931079323797,0.9950454170107349
0.99614066,0.3969440832249675,0.995085995085995
0.99612504,0.40019505851755527,0.9951259138911455
0.9961041,0.40344603381014305,0.9951651893634166
0.9960885,0.4066970091027308,0.9952038369304557
0.9960621,0.4099479843953186,0.9944488501189532
0.9960366,0.4131989596879064,0.994492525570417
0.9960179,0.41644993498049415,0.994535519125683
0.9960037,0.41970091027308193,0.994577846630519
0.9959863,0.4229518855656697,0.994619523443505
0.9959467,0.4262028608582575,0.9946605644546148
0.9959033,0.42945383615084526,0.9931869795609387
0.99588,0.43270481144343304,0.9932381667918858
0.9958402,0.4359557867360208,0.9932885906040269
0.9958158,0.4392067620286086,0.993338267949667
0.9957956,0.44245773732119636,0.9933872152828802
0.9957712,0.44570871261378414,0.9934354485776805
0.9957495,0.4489596879063719,0.9934829833454019
