intent,recall
pending_transfer,0.6923076923076923
declined_transfer,0.775
card_payment_not_recognised,0.8
balance_not_updated_after_bank_transfer,0.8
why_verify_identity,0.8
fiat_currency_support,0.825
transfer_into_account,0.825
topping_up_by_card,0.825
top_up_failed,0.85
top_up_reverted,0.85
pending_card_payment,0.85
card_arrival,0.85
card_swallowed,0.875
disposable_card_limits,0.875
top_up_by_bank_transfer_charge,0.875
get_disposable_virtual_card,0.875
card_acceptance,0.875
card_delivery_estimate,0.875
exchange_via_app,0.8974358974358975
transfer_not_received_by_recipient,0.8974358974358975
cancel_transfer,0.9
contactless_not_working,0.9
direct_debit_payment_not_recognised,0.9
compromised_card,0.9
unable_to_verify_identity,0.9
automatic_top_up,0.9
wrong_amount_of_cash_received,0.9
virtual_card_not_working,0.9
pin_blocked,0.9
exchange_charge,0.9
receiving_money,0.925
supported_cards_and_currencies,0.925
transfer_timing,0.925
visa_or_mastercard,0.925
beneficiary_not_allowed,0.925
order_physical_card,0.925
wrong_exchange_rate_for_cash_withdrawal,0.925
cash_withdrawal_charge,0.95
getting_spare_card,0.95
failed_transfer,0.95
Refund_not_showing_up,0.95
pending_top_up,0.95
lost_or_stolen_card,0.95
card_linking,0.95
declined_card_payment,0.95
cash_withdrawal_not_recognised,0.95
card_payment_wrong_exchange_rate,0.95
balance_not_updated_after_cheque_or_cash_deposit,0.95
card_payment_fee_charged,0.95
extra_charge_on_statement,0.95
atm_support,0.9743589743589743
request_refund,0.975
pending_cash_withdrawal,0.975
verify_my_identity,0.975
transfer_fee_charged,0.975
reverted_card_payment?,0.975
top_up_limits,0.975
top_up_by_card_charge,0.975
activate_my_card,0.975
top_up_by_cash_or_cheque,0.975
exchange_rate,0.975
lost_or_stolen_phone,0.975
getting_virtual_card,0.975
card_not_working,0.975
transaction_charged_twice,1.0
terminate_account,1.0
get_physical_card,1.0
passcode_forgotten,1.0
change_pin,1.0
country_support,1.0
declined_cash_withdrawal,1.0
edit_personal_details,1.0
apple_pay_or_google_pay,1.0
card_about_to_expire,1.0
age_limit,1.0
verify_source_of_funds,1.0
verify_top_up,1.0
